,judul,waktu,category,isi
10,Pengusaha Ritel Curhat: Distributor Minyak Goreng Masih Ada yang Ngumpet,"Selasa, 22 Maret 2022 - 12:59 WIB",Sektor Riil,"asosiasi pengusaha ritel indonesia (aprindo) membeberkan, meskipun sudah free market akan tetapi distributor yang memasok minyak goreng ke ritel modern masih terbatas."
11,"Sesi I IHSG Hari Ini Ditutup Menguat, Asing Belanja Rp608 Miliar","Selasa, 22 Maret 2022 - 12:57 WIB",Kurs & Saham,"indeks harga saham gabungan (ihsg) hari ini menguat 24,91 poin atau 0,36% di level 6.980 pada penutupan sesi pertama perdagangan, selasa (22/3/2022)."
12,Tunggu Keputusan Mudik Dilarang atau Tidak? Ini Penjelasan Kemenhub,"Selasa, 22 Maret 2022 - 12:44 WIB",Sektor Riil,kementerian perhubungan menyatakan belum ada keputusan final terkait kebijakan mudik lebaran tahun ini. aturan terkait angkutan mudik juga masih dibahas.
13,"Bangun IKN Nusantara, 6 Peraturan Pelaksana Dikebut Siap Bulan Depan","Selasa, 22 Maret 2022 - 12:31 WIB",Sektor Riil,"aturan untuk memulai pembangunan ibu kota negara (ikn) nusantara terus dikebut, dimana ditargetkan ada 2 pp dan 4 perpres untuk segera dirampungkan pada april 2022."
14,OJK Dorong BUMN Masuk Pasar Modal Sebagai Alternatif Pendanaan,"Selasa, 22 Maret 2022 - 11:57 WIB",Advertorial Ekbis,otoritas jasa keuangan mendorong perusahaan bumn maupun anak perusahaan bumn untuk memanfaatkan pasar modal sebagai sumber alternatif pendanaan perusahaan dalam mengembangkan bisnis dan usahanya.
15,"Pengusaha Ritel Senang HET Minyak Goreng Dicabut, Pasokan Melimpah","Selasa, 22 Maret 2022 - 11:50 WIB",Sektor Riil,pencabutan harga eceran tertinggi (het) minyak goreng kemasan disambut gembira oleh pengusaha ritel modern. pasokan minyak goreng pun melimpah lagi.
16,OJK Rayu BUMN Agar Makin Banyak Nyebur ke Pasar Modal Indonesia,"Selasa, 22 Maret 2022 - 11:01 WIB",Bursa Finansial,berdasarkan catatan otoritas jasa keuangan (ojk) hingga saat ini jumlah perusahaan badan usaha milik negara (bumn) yang telah melakukan penawaran umum pasar modal baru mencapai 23 perusahaan.
17,"Rachmat Gobel: Tak Ada Mafia Minyak Goreng, Hanya Pengusaha Cari Untung","Selasa, 22 Maret 2022 - 10:31 WIB",Sektor Riil,"wakil ketua dpr ri, rachmat gobel menyatakan, tak ada mafia minyak goreng, melainkan hanya pengusaha yang mencari celah untuk mendapatkan keuntungan."
18,GoTo Perpanjang Masa Bookbuilding IPO hingga 24 Maret 2022,"Selasa, 22 Maret 2022 - 10:12 WIB",Bursa Finansial,pt goto gojek tokopedia tbk atau goto memperpanjang masa penawaran awal perdana saham (bookbuilding period) selama tiga hari.
19,"Tampil Perkasa pada Awal Sesi, IHSG Hari Ini Bertengger di Level 6.974","Selasa, 22 Maret 2022 - 09:51 WIB",Kurs & Saham,"ihsg hari ini dibuka menguat di 6.974,97 pada perdagangan selasa pagi (22/3/2022). ihsg hari ini dibuka menguat di 6.974,97 pada perdagangan selasa pagi (22/3/2022)."
20,"Harga Emas Antam Hari Ini Menguat, Termahal Dijual Rp929.600.000","Selasa, 22 Maret 2022 - 09:35 WIB",Sektor Riil,"harga emas batangan pt aneka tambang (antam) terpantau menguat pada hari kedua pekan ini usai melemah pada perdagangan kemarin, yuk intip rincian harganya."
21,"81 Perusahaan Wajib Kucurkan 14 Ribu Ton Minyak Goreng Curah, Begini Mekanismenya","Selasa, 22 Maret 2022 - 09:15 WIB",Sektor Riil,"81 perusahaan industri minyak goreng wajib untuk menyediakan minyak goreng curah bagi masyarakat, usaha mikro, dan usaha kecil. diketahui harga minyak goreng curah di masyarakat tak boleh lebih dari rp14.000 per liter."
22,NFT: Transformasi Pelindungan Hak Cipta dalam Bentuk Digital,"Selasa, 22 Maret 2022 - 09:01 WIB",Advertorial Ekbis,fenomena ghozali everyday yang sukses menjual koleksi swafoto dalam bentuk non-fungible token (nft) pada platform opensea membuat semakin banyak orang tertarik untuk mempelajari aset digital.
23,Penyaluran Solar Subsidi hingga Februari Melebihi Kuota 10%,"Selasa, 22 Maret 2022 - 08:19 WIB",Sektor Riil,masyarakat tidak perlu khawatir dan tidak perlu panic buying. pembelian bahan bakar diimbau untuk tetap sesuai dengan kebutuhan dan tetap hemat dalam penggunaannya mengingat saat ini harga minyak sangatlah mahal.
24,Luhut Ajak Singapura Garap Food Estate dan Ibu Kota Baru,"Selasa, 22 Maret 2022 - 07:59 WIB",Sektor Riil,"menteri koordinator maritim dan investasi, luhut binsar pandjaitan mengajak singapura untuk ikut serta dalam pengembangan food estate dan pembangunan ibu kota negara baru di kalimantan."
25,"Minim Booster, IHSG Hari Ini Bakal Berada di Kisaran Level 6.823-7.032","Selasa, 22 Maret 2022 - 07:13 WIB",Kurs & Saham,indeks harga saham gabungan atau ihsg hari ini berpotensi bergerak terbatas pada sepanjang perdagangan setelah kemarin merangkak naik.
26,Eropa Terpecah Soal Sanksi Embargo Minyak dan Gas Rusia,"Selasa, 22 Maret 2022 - 06:59 WIB",Sektor Riil,para pemimpin uni eropa (ue) menemui jalan buntu mengenai apakah mereka bakal menjatuhkan sanksi sektor energi kepada rusia ketika tekanan untuk memberikan respons atas invasi ke ukraina semakin berat.
27,"Investor Asing Jual Saham Setengah Triliun Lebih, Apa Saja yang Dilepas?","Senin, 21 Maret 2022 - 23:30 WIB",Bursa Finansial,"investor asing terpantau melakukan aksi penjualan bersih saham secara akumulatif mencapai rp567,93 miliar sepanjang perdagangan awal pekan, senin (21/3/2022)."
28,Ini Aturan Pungutan Pajak yang Bakal Berlaku Bulan Depan,"Senin, 21 Maret 2022 - 23:00 WIB",Makro,"selain kenaikan ppn, pemerintah juga akan menerapkan pajak karbon yang merupakan implementasi dari uu hpp yang bakal berlaku pula mulai april 2022."
29,"Pesawat China Eastern Airlines Jatuh, Saham Boeing Langsung Menukik 6 Persen","Senin, 21 Maret 2022 - 21:58 WIB",Bursa Finansial,"dow jones industrial average turun 85,08 poin karena dipicu jatuhnya saham boeing sebesar 5,9% menyusul insiden kecelakaan pesawat china eastern airlines."
